"Value","Reference","Qty","Footprint","LCSC"
"CL21B104K","C1,C4,C5,C7,C9,C11,C13,C14,C15,C16,C19,C21,C23,C28,C30,C33,C52,C53,C60,C62,C64,C66","22","04_MyFoot_Passive:C_2012Metric","C1711"
"10UF25V67RV","C2,C6,C10,C31,C34","5","04_MyFoot_Passive:CP_Elec_4x5.4","C2895271"
"CL31B106K","C3,C24,C59,C65","4","04_MyFoot_Passive:C_3216Metric","C307369"
"47UF50V67RV","C8,C29","2","04_MyFoot_Passive:CP_Elec_6.3x7.7","C2887275"
"CG100J","C12,C18","2","04_MyFoot_Passive:C_3216Metric","C1883"
"CL21B475K","C20","1","04_MyFoot_Passive:C_2012Metric","C16194948"
"CL21C101J","C22","1","04_MyFoot_Passive:C_2012Metric","C1790"
"0.1uF100V","C25,C36,C41","3","04_MyFoot_Passive:C_Rect_W7.0mm_P15.00mm",""
"10UF100V67RV","C26","1","04_MyFoot_Passive:CP_Elec_6.3x7.7","C2895274"
"1000UF63V","C27","1","04_MyFoot_Passive:CP_Radial_D16.0mm_P7.50mm",""
"CG330J","C32,C35","2","04_MyFoot_Passive:C_2012Metric","C157687"
"CL31B104K","C37,C38,C43,C44","4","04_MyFoot_Passive:C_3216Metric","C1945"
"CG220J","C39,C40","2","04_MyFoot_Passive:C_2012Metric","C24658"
"1uF100V","C42","1","04_MyFoot_Passive:C_Rect_W7.0mm_P15.00mm",""
"1206B105K101NT","C45","1","04_MyFoot_Passive:C_3216Metric","C91151"
"1206B223K101NT","C46","1","04_MyFoot_Passive:C_3216Metric","C48996"
"CL31B225K","C47,C48","2","04_MyFoot_Passive:C_3216Metric","C39619"
"1206CG331J101NT","C49,C57","2","04_MyFoot_Passive:C_3216Metric","C20617886"
"220UF50V67RV","C50","1","04_MyFoot_Passive:CP_Elec_10x10.5","C2887271"
"CL31A106K","C51","1","04_MyFoot_Passive:C_3216Metric","C13585"
"1206B103K","C54,C58","2","04_MyFoot_Passive:C_3216Metric","C55077"
"1206CG102J101NT","C55","1","04_MyFoot_Passive:C_3216Metric","C44911"
"1206CG101J","C56","1","04_MyFoot_Passive:C_3216Metric","C1884"
"CL31B105K","C61,C63","2","04_MyFoot_Passive:C_3216Metric","C13832"
"CL21B472K","C67,C68,C69,C70,C71","5","04_MyFoot_Passive:C_2012Metric","C50131"
"BAV99","D1","1","03_MyFoot_Active:SOT-23","C68983"
"SS24B","D2,D3","2","03_MyFoot_Active:D_SMB","C35501"
"BAT54WSQ-7","D4,D5","2","03_MyFoot_Active:D_SOD-323_HandSoldering","C171824"
"B3100-13-F","D6","1","03_MyFoot_Active:B3100_13_F","C134447"
"LL4148","D7,D8,D10,D11,D12,D13,D14,D15,D16","9","03_MyFoot_Active:LL4148_MELF","C84062"
"SM712-LF-T7","D9","1","Package_TO_SOT_SMD:SOT-23","C2687124"
"MM3Z3V6","D17,D18","2","03_MyFoot_Active:D_SOD-323_HandSoldering","C12453"
"MUS2415N","DCDC1,DCDC2","2","05_MyFoot_Others:MUS2415N",""
"CBG321609U","FB1","1","04_MyFoot_Passive:R_3216Metric","C74486"
"470UF63V","FC1,FC2","2","04_MyFoot_Passive:CP_Radial_D12.5mm_P5.00mm",""
"LM5005MHX_NOPB","IC1","1","01_MyFoot_ICs:SOP65P640X110-21N","C55575"
"SMW250-02P","J1,J7","2","02_MyFoot_Connectors:SMW250_02P",""
"Screw_Terminal_01x06","J2","1","02_MyFoot_Connectors:TB_P5.00mm_6P",""
"ARM_SWD_10","J3","1","02_MyFoot_Connectors:IDC-Header_2x05_P2.54mm_Vertical",""
"Conn_01x06_HEADERPIN","J4","1","02_MyFoot_Connectors:PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x03","J5","1","02_MyFoot_Connectors:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_02x10_Odd_Even","J6","1","02_MyFoot_Connectors:IDC-Header_2x10_P2.54mm_Vertical",""
"Conn_02x13_Odd_Even","J8","1","02_MyFoot_Connectors:IDC-Header_2x13_P2.54mm_Latch_Vertical",""
"G6A274","K1,K4,K6,K9","4","06_MyFoot_Mechanical:G6A274PST15USDC12",""
"PA1A_5V","K2,K3,K5,K7,K8","5","06_MyFoot_Mechanical:PA1A5V",""
"3.3uH","L1","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"3.9uH","L2","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"33uH","L3","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"1.5uH","L4","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"2.2uH","L5","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"2.7uH","L6","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"4.7uH","L7","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"6.8uH","L8","1","04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm",""
"STD25N10F7","Q1,Q2","2","Package_TO_SOT_SMD:TO-252-2","C114860"
"W8J0103","R1,R2,R14,R25,R39,R42,R44,R46,R48","9","04_MyFoot_Passive:R_2012Metric","C25612"
"AR06CTC0500","R3,R4","2","04_MyFoot_Passive:R_3216Metric","C5266090"
