Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
"C1,C4,C5,C7,C9,C11,C13,C14,C15,C16,C17,C19,C21,C23,C28,C30,C33,C52,C53,C60,C62,C64,C66",23,CL21B104K,,,,04_MyFoot_Passive:C_2012Metric,
"C2,C6,C10,C31,C34",5,10UF25V67RV,,,,04_MyFoot_Passive:CP_Elec_4x5.4,
"C3,C24,C59,C65",4,CL31B106K,,,,04_MyFoot_Passive:C_3216Metric,
"C8,C29",2,47UF50V67RV,,,,04_MyFoot_Passive:CP_Elec_6.3x7.7,
"C12,C18",2,CG100J,,,,04_MyFoot_Passive:C_3216Metric,
C20,1,CL31B475K,,,,04_MyFoot_Passive:C_2012Metric,
C22,1,CL21C101J,,,,04_MyFoot_Passive:C_2012Metric,
"C25,C36,C41",3,0.1uF100V,,,,04_MyFoot_Passive:C_Rect_W7.0mm_P15.00mm,
C26,1,10UF100V67RV,,,,04_MyFoot_Passive:CP_Elec_6.3x7.7,
C27,1,1000UF63V,,,,04_MyFoot_Passive:CP_Radial_D16.0mm_P7.50mm,
"C32,C35",2,CG330J,,,,04_MyFoot_Passive:C_2012Metric,
"C37,C38,C43,C44",4,CL31B104K,,,,04_MyFoot_Passive:C_3216Metric,
"C39,C40",2,CG220J,,,,04_MyFoot_Passive:C_2012Metric,
C42,1,1uF100V,,,,04_MyFoot_Passive:C_Rect_W7.0mm_P15.00mm,
C45,1,1206B105K101NT,,,,04_MyFoot_Passive:C_3216Metric,
C46,1,1206B223K101NT,,,,04_MyFoot_Passive:C_3216Metric,
"C47,C48",2,CL31B225K,,,,04_MyFoot_Passive:C_3216Metric,
"C49,C57",2,1206CG331J101NT,,,,04_MyFoot_Passive:C_3216Metric,
C50,1,220UF50V67RV,,,,04_MyFoot_Passive:CP_Radial_D12.5mm_P5.00mm,
C51,1,CL31A226K,,,,04_MyFoot_Passive:C_3216Metric,
C54,1,1206B103K101NT,,,,04_MyFoot_Passive:C_3216Metric,
C55,1,1206CG102J101NT,,,,04_MyFoot_Passive:C_3216Metric,
C56,1,1206CG101J101NT,,,,04_MyFoot_Passive:C_3216Metric,
C58,1,103J100V,,,,04_MyFoot_Passive:C_3216Metric,
"C61,C63",2,CL31B105K,,,,04_MyFoot_Passive:C_3216Metric,
"C67,C68,C69,C70,C71",5,CL21B472K,,,,04_MyFoot_Passive:C_2012Metric,
D1,1,BAV99,,,,03_MyFoot_Active:SOT-23,
"D2,D3",2,SS24B,,,,03_MyFoot_Active:D_SMB,
"D4,D5",2,BAT54WSQ-7,,,,03_MyFoot_Active:D_SOD-323_HandSoldering,
D6,1,B3100-13-F,,,,03_MyFoot_Active:B3100_13_F,
"D7,D8,D10,D11,D12,D13,D14,D15,D16",9,LL4148,,,,03_MyFoot_Active:LL4148_MELF,
D9,1,SM712-LF-T7,,,,Package_TO_SOT_SMD:SOT-23,
"D17,D18",2,MM3Z3V6,,,,03_MyFoot_Active:D_SOD-323_HandSoldering,
"DCDC1,DCDC2",2,MUS2415N,,,,05_MyFoot_Others:MUS2415N,
FB1,1,CBG321609U,,,,04_MyFoot_Passive:R_3216Metric,
"FC1,FC2",2,470UF63V,,,,04_MyFoot_Passive:CP_Radial_D12.5mm_P5.00mm,
IC1,1,LM5005MHX_NOPB,,,,01_MyFoot_ICs:SOP65P640X110-21N,http://www.ti.com/lit/gpn/LM5005
"J1,J7",2,SMW250-02P,,,,02_MyFoot_Connectors:SMW250_02P,
J2,1,Screw_Terminal_01x06,,,,02_MyFoot_Connectors:TB_P5.00mm_6P,
J3,1,Conn_ARM_SWD_10,,,,02_MyFoot_Connectors:IDC-Header_2x05_P2.54mm_Vertical,
J4,1,Conn_01x06_HEADERPIN,,,,02_MyFoot_Connectors:PinHeader_1x06_P2.54mm_Vertical,
J5,1,Conn_01x03,,,,02_MyFoot_Connectors:PinHeader_1x03_P2.54mm_Vertical,
J6,1,Conn_02x10_Odd_Even,,,,02_MyFoot_Connectors:IDC-Header_2x10_P2.54mm_Vertical,
J8,1,Conn_02x13_Odd_Even,,,,02_MyFoot_Connectors:IDC-Header_2x13_P2.54mm_Latch_Vertical,
"K1,K4,K6,K9",4,G6A274,,,,06_MyFoot_Mechanical:G6A274PST15USDC12,
"K2,K3,K5,K7,K8",5,PA1A_5V,,,,06_MyFoot_Mechanical:PA1A5V,
L1,1,3.3uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L2,1,3.9uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L3,1,33uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L4,1,1.5uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L5,1,2.2uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L6,1,2.7uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L7,1,4.7uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
L8,1,6.8uH,,,,04_MyFoot_Passive:L_Radial_D10.0mm_P5.00mm,
"Q1,Q2",2,STD7N10F7,,,,Package_TO_SOT_SMD:TO-252-2,https://www.st.com/resource/en/datasheet/std7nk40zt4.pdf
"R1,R2,R14,R25,R39,R42,R44,R46,R48",9,W8J0103,,,,04_MyFoot_Passive:R_2012Metric,
"R3,R4",2,AR06CTC0500,,,,04_MyFoot_Passive:R_3216Metric,
"R5,R6,R7,R8",4,W4F4700,,,,04_MyFoot_Passive:R_3216Metric,
"R9,R16",2,25121WF470,,,,04_MyFoot_Passive:R_2012Metric,
"R10,R17",2,15K/3W,,,,04_MyFoot_Passive:R_Axial_2W_P20.32mm,
"R11,R13",2,0805FR-0747RL,,,,04_MyFoot_Passive:R_2012Metric,
"R12,R19",2,1812J103,,,,04_MyFoot_Passive:R_4532Metric,
R15,1,0805FR-07100K,,,,04_MyFoot_Passive:R_2012Metric,
R18,1,22K/3W,,,,04_MyFoot_Passive:R_Axial_2W_P20.32mm,
"R20,R21,R34",3,W4F1002,,,,04_MyFoot_Passive:R_3216Metric,
R22,1,0805FR-0733RL,,,,04_MyFoot_Passive:R_2012Metric,
R23,1,W4J0123,,,,04_MyFoot_Passive:R_3216Metric,
R24,1,W4J0334,,,,04_MyFoot_Passive:R_2012Metric,
R26,1,FRL2512FR047TS-47mohm,,,,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
R27,1,W4F7502,,,,04_MyFoot_Passive:R_3216Metric,
R28,1,W4F9102,,,,04_MyFoot_Passive:R_3216Metric,
R29,1,W4J0223,,,,04_MyFoot_Passive:R_3216Metric,
R30,1,W4F4992,,,,04_MyFoot_Passive:R_3216Metric,
R31,1,W4J0333,,,,04_MyFoot_Passive:R_3216Metric,
R32,1,W4J0100,,,,04_MyFoot_Passive:R_3216Metric,
R33,1,W4F4991,,,,04_MyFoot_Passive:R_3216Metric,
R35,1,W4F8871,,,,04_MyFoot_Passive:R_3216Metric,
"R36,R40",2,W8J0431,,,,04_MyFoot_Passive:R_2012Metric,
R37,1,W4J0121,,,,04_MyFoot_Passive:R_3216Metric,
"R38,R41,R43,R45,R47",5,W4J0472,,,,04_MyFoot_Passive:R_3216Metric,
"R49,R50",2,W4J0102,,,,04_MyFoot_Passive:R_3216Metric,
SW1,1,SW_Push,,,,06_MyFoot_Mechanical:SW_SPST_TS-1088-xR025,
SW2,1,DSHP02T,,,,06_MyFoot_Mechanical:CHS-02B_W7.62mm_P1.27mm,
T1,1,TOROID_OUTPUT_OD20_T6T12,,,,04_MyFoot_Passive:Toroid_OD20mm_ID10-T6T12,
T2,1,TOROID_CT_OD16_T1T20,,,,04_MyFoot_Passive:Toroid_OD16mm_ID9.6-T1T20,
U1,1,AMS1117-3.3,,,,01_MyFoot_ICs:SOT-223-3_TabPin2,
U2,1,UCC21520DWR,,,,01_MyFoot_ICs:SOIC-16W_7.5x10.3mm_P1.27mm,
U3,1,STM32G474RBT6,,,,Package_QFP:LQFP-64_10x10mm_P0.5mm,
U4,1,INA190A3IDCKR,,,,Package_TO_SOT_SMD:SOT-363_SC-70-6,
U5,1,MAX3485ESA,,,,01_MyFoot_ICs:SOIC-8_3.9x4.9mm_P1.27mm,
"U6,U9,U10,U11,U12",5,TLP185GB-S,,,,01_MyFoot_ICs:SOIC-4_4.55x3.7mm_P2.54mm,
"U7,U8",2,ULN2003ADR,,,,01_MyFoot_ICs:SOIC-16_3.9x9.9mm_P1.27mm,
Y1,1,X49SM8M,,,,03_MyFoot_Active:Crystal_SMD_HC49-SD,
