Ref,Val,Package,PosX,PosY,Rot,Side
"C5","MLCC104","C_3216Metric",53.000000,55.800000,-90.000000,top
"C6","MLCC102","C_3216Metric",48.500000,55.800000,-90.000000,top
"C8","MLCC471","C_3216Metric",118.000000,19.000000,180.000000,top
"C9","MLCC104","C_3216Metric",54.490000,33.590000,180.000000,top
"C11","MLCC335","C_3216Metric",63.500000,15.000000,0.000000,top
"C12","MLCC104","C_3216Metric",85.500000,19.000000,180.000000,top
"C13","MLCC335","C_3216Metric",63.500000,12.000000,0.000000,top
"C15","MLCC102","C_3216Metric",63.500000,24.000000,0.000000,top
"C19","MLCC224","C_3216Metric",63.500000,18.000000,180.000000,top
"C26","MLCC104","C_3216Metric",22.000000,70.000000,180.000000,top
"C27","MLCC104","C_3216Metric",26.000000,43.200000,90.000000,top
"C28","MLCC104","C_3216Metric",23.400000,15.100000,90.000000,top
"C30","MLCC104","C_3216Metric",17.900000,15.100000,90.000000,top
"LED1","LED_SMD","LED_2012Metric",92.000000,3.500000,0.000000,top
"LED2","LED_SMD","LED_2012Metric",7.200000,52.000000,0.000000,top
"R2","1.2K","R_3216Metric",118.000000,22.500000,0.000000,top
"R6","10K","R_3216Metric",109.000000,21.000000,90.000000,top
"R7","4.7R","R_3216Metric",63.000000,45.000000,-90.000000,top
"R8","4.7R","R_3216Metric",66.000000,45.000000,90.000000,top
"R9","1K","R_3216Metric",76.000000,16.000000,180.000000,top
"R10","4.7K","R_3216Metric",76.000000,13.000000,180.000000,top
"R11","10K","R_3216Metric",76.000000,19.000000,180.000000,top
"R12","820R","R_3216Metric",76.000000,22.000000,180.000000,top
"R13","1.2K/F","R_3216Metric",76.000000,25.000000,0.000000,top
"R14","10R","R_3216Metric",17.500000,85.500000,-90.000000,top
"R15","10R","R_3216Metric",38.000000,56.000000,0.000000,top
"R16","10R","R_3216Metric",47.000000,22.000000,0.000000,top
"R17","68K","R_3216Metric",63.500000,21.000000,0.000000,top
"R18","1K/F","R_3216Metric",63.500000,30.000000,180.000000,top
"R19","40K/F","R_3216Metric",63.500000,27.000000,0.000000,top
"R20","10K/F","R_3216Metric",55.500000,18.000000,0.000000,top
"R21","1.2K","R_3216Metric",98.000000,3.500000,180.000000,top
"R22","2.2K","R_3216Metric",7.000000,57.000000,180.000000,top
"R23","220R","R_3216Metric",107.500000,3.500000,0.000000,top
"R27","100R","R_3216Metric",89.500000,8.500000,90.000000,top
